solver,score
Oracle,549558.4051637813
Poolector,868489.0556229999
Greedy,868489.0556229999
Boolector,972171.5839675294
SolverLogic,1021521.1509383753
Yices+Cadical,1118453.672479921
Yices-newbv,1260344.029956896
MinkeyRink MT,1358844.915598895
MinkeyRink ST,1406674.1871725959
MinkeyRink MT (2018),1449234.6912286931
Boolector (2018),1474415.5571443792
Yices+Cryptominisat,1556859.07598688
CVC4,1878509.1733202068
Boolector-ReasonLS,2364741.064833311
Yices,2506112.480898426
STP MT,3055244.295936394
STP (inc),3233110.322053794
STP,3244733.9215885974
STP-MergeSat,3784225.6566207954
Random,4757776.675709959
STP-MiniSat,5893769.397582997
Z3,6474001.586940402
STP-Portfolio,7123930.684787904
Yices-MCSAT-BV,18352427.736981153
STP-Riss,29895692.39429068
