Solver,Par-2 Score,Improvement
machsmt-alloc,976631.2999999997,0.0
machsmt,978391.5999999996,0.0018007973205837443
config21,1128498.3000000003,0.14428280330104196
cvc5,1203122.200000001,0.20781331467067368
config20,1280811.5000000005,0.26949094789910133
config22,1306081.2000000007,0.28864773816238437
config19,1306081.9000000004,0.28864826295305135
config18,1308288.9000000004,0.2903012542845047
config13,1418469.600000002,0.3689517214076467
config12,1544433.8000000012,0.45044651960792387
config2,1544433.8000000012,0.45044651960792387
config3,1544434.3000000007,0.450446826929058
config11,1544529.4000000004,0.4505052771923667
config10,1545691.8000000005,0.4512193540946446
config16,1546829.3000000005,0.45191749774099965
config4,1546889.2000000004,0.45195424408083923
config9,1546890.6000000003,0.45195510290598284
config23,1546890.8000000007,0.4519552255952115
config7,1546890.900000001,0.4519552869398187
config8,1546891.2000000002,0.4519554709736097
config1,1546891.2000000004,0.4519554709736099
config6,1546892.9000000006,0.451956513830936
config17,1546904.7,0.45196375244894493
config5,1550429.7000000004,0.45412310981017134
config15,1555278.9000000008,0.4570838254848067
config14,1555279.4000000008,0.4570841301788416
